Date,AAPL,GOOG,MSFT,TSLA
2026-01-20,246.46937561035156,321.9331970214844,453.48492431640625,419.25
2026-01-21,247.41848754882812,328.1488342285156,443.0986328125,431.44000244140625
2026-01-22,248.1178436279297,330.6070861816406,450.1126403808594,449.3599853515625
2026-01-23,247.80812072753906,328.19879150390625,464.888916015625,449.05999755859375
2026-01-26,255.17123413085938,333.35516357421875,469.20904541015625,435.20001220703125
2026-01-27,258.0285339355469,334.76416015625,479.485595703125,430.8999938964844
2026-01-28,256.2002868652344,336.04327392578125,480.533203125,431.4599914550781
2026-01-29,258.0385437011719,338.4216003417969,432.5128173828125,416.55999755859375
2026-01-30,259.2374267578125,338.29168701171875,429.31011962890625,430.4100036621094
2026-02-02,269.7575988769531,344.6571960449219,422.4058837890625,421.80999755859375
2026-02-03,269.22808837890625,340.4601745605469,410.2735595703125,421.9599914550781
2026-02-04,276.23150634765625,333.1053161621094,413.2467956542969,406.010009765625
2026-02-05,275.6520690917969,331.09674072265625,392.7735290527344,397.2099914550781
2026-02-06,277.8599853515625,322.87255859375,400.22650146484375,411.1099853515625
2026-02-09,274.6199951171875,324.171630859375,412.65814208984375,417.32000732421875
2026-02-10,273.67999267578125,318.40570068359375,412.328857421875,425.2099914550781
2026-02-11,275.5,311.1108093261719,403.4491271972656,428.2699890136719
2026-02-12,261.7300109863281,309.1521911621094,400.9248962402344,417.07000732421875
2026-02-13,255.77999877929688,305.8045654296875,400.4060974121094,417.44000244140625
2026-02-17,263.8800048828125,302.6068115234375,395.95623779296875,410.6300048828125
2026-02-18,264.3500061035156,303.7260437011719,398.69000244140625,411.32000732421875
2026-02-19,260.5799865722656,303.3462829589844,398.4599914550781,411.7099914550781
2026-02-20,264.5799865722656,314.6783142089844,397.2300109863281,411.82000732421875
2026-02-23,266.17999267578125,311.4705810546875,384.4700012207031,399.8299865722656
2026-02-24,272.1400146484375,310.7011413574219,389.0,409.3800048828125
2026-02-25,274.2300109863281,312.80963134765625,400.6000061035156,417.3999938964844
2026-02-26,272.95001220703125,306.93377685546875,401.7200012207031,408.5799865722656
2026-02-27,264.17999267578125,311.21075439453125,392.739990234375,402.510009765625
2026-03-02,264.7200012207031,306.1443176269531,398.54998779296875,403.32000732421875
2026-03-03,263.75,303.3462829589844,403.92999267578125,392.42999267578125
2026-03-04,262.5199890136719,303.23638916015625,405.20001220703125,405.94000244140625
2026-03-05,260.2900085449219,300.6981506347656,410.67999267578125,405.54998779296875
2026-03-06,257.4599914550781,298.0899963378906,408.9599914550781,396.7300109863281
2026-03-09,259.8800048828125,306.010009765625,409.4100036621094,398.67999267578125
2026-03-10,260.8299865722656,306.92999267578125,405.760009765625,399.239990234375
2026-03-11,260.80999755859375,308.4200134277344,404.8800048828125,407.82000732421875
2026-03-12,255.75999450683594,303.2099914550781,401.8599853515625,395.010009765625
2026-03-13,250.1199951171875,301.4599914550781,395.54998779296875,391.20001220703125
2026-03-16,252.82000732421875,304.4200134277344,399.95001220703125,395.55999755859375
2026-03-17,254.22999572753906,309.4100036621094,399.4100036621094,399.2699890136719
2026-03-18,249.94000244140625,306.29998779296875,391.7900085449219,392.7799987792969
2026-03-19,248.9600067138672,305.7300109863281,389.0199890136719,380.29998779296875
2026-03-20,247.99000549316406,298.7900085449219,381.8699951171875,367.9599914550781
2026-03-23,251.49000549316406,299.0199890136719,383.0,380.8500061035156
2026-03-24,251.63999938964844,289.20001220703125,372.739990234375,383.0299987792969
2026-03-25,252.6199951171875,289.5899963378906,371.0400085449219,385.95001220703125
2026-03-26,252.88999938964844,280.739990234375,365.9700012207031,372.1099853515625
2026-03-27,248.8000030517578,273.760009765625,356.7699890136719,361.8299865722656
2026-03-30,246.6300048828125,273.1400146484375,358.9599914550781,355.2799987792969
2026-03-31,253.7899932861328,286.8599853515625,370.1700134277344,371.75
2026-04-01,255.6300048828125,294.8999938964844,369.3699951171875,381.260009765625
2026-04-02,255.9199981689453,294.4599914550781,373.4599914550781,360.5899963378906
2026-04-06,258.8599853515625,297.6600036621094,372.8800048828125,352.82000732421875
2026-04-07,253.5,303.92999267578125,372.2900085449219,346.6499938964844
2026-04-08,258.8999938964844,314.739990234375,374.3299865722656,343.25
2026-04-09,260.489990234375,316.3699951171875,373.07000732421875,345.6199951171875
2026-04-10,260.4800109863281,315.7200012207031,370.8699951171875,348.95001220703125
2026-04-13,259.20001220703125,319.2099914550781,384.3699951171875,352.4200134277344
2026-04-14,258.8299865722656,330.5799865722656,393.1099853515625,364.20001220703125
2026-04-15,266.42999267578125,334.4700012207031,411.2200012207031,391.95001220703125
2026-04-16,263.3999938964844,332.7699890136719,420.260009765625,388.8999938964844
2026-04-17,270.2300109863281,339.3999938964844,422.7900085449219,400.6199951171875
