Date,GOOG
2026-01-20,321.9331970214844
2026-01-21,328.1488342285156
2026-01-22,330.6070861816406
2026-01-23,328.19879150390625
2026-01-26,333.35516357421875
2026-01-27,334.76416015625
2026-01-28,336.04327392578125
2026-01-29,338.4216003417969
2026-01-30,338.29168701171875
2026-02-02,344.6571960449219
2026-02-03,340.4601745605469
2026-02-04,333.1053161621094
2026-02-05,331.09674072265625
2026-02-06,322.87255859375
2026-02-09,324.171630859375
2026-02-10,318.40570068359375
2026-02-11,311.1108093261719
2026-02-12,309.1521911621094
2026-02-13,305.8045654296875
2026-02-17,302.6068115234375
2026-02-18,303.7260437011719
2026-02-19,303.3462829589844
2026-02-20,314.6783142089844
2026-02-23,311.4705810546875
2026-02-24,310.7011413574219
2026-02-25,312.80963134765625
2026-02-26,306.93377685546875
2026-02-27,311.21075439453125
2026-03-02,306.1443176269531
2026-03-03,303.3462829589844
2026-03-04,303.23638916015625
2026-03-05,300.6981506347656
2026-03-06,298.0899963378906
2026-03-09,306.010009765625
2026-03-10,306.92999267578125
2026-03-11,308.4200134277344
2026-03-12,303.2099914550781
2026-03-13,301.4599914550781
2026-03-16,304.4200134277344
2026-03-17,309.4100036621094
2026-03-18,306.29998779296875
2026-03-19,305.7300109863281
2026-03-20,298.7900085449219
2026-03-23,299.0199890136719
2026-03-24,289.20001220703125
2026-03-25,289.5899963378906
2026-03-26,280.739990234375
2026-03-27,273.760009765625
2026-03-30,273.1400146484375
2026-03-31,286.8599853515625
2026-04-01,294.8999938964844
2026-04-02,294.4599914550781
2026-04-06,297.6600036621094
2026-04-07,303.92999267578125
2026-04-08,314.739990234375
2026-04-09,316.3699951171875
2026-04-10,315.7200012207031
2026-04-13,319.2099914550781
2026-04-14,330.5799865722656
2026-04-15,334.4700012207031
2026-04-16,332.7699890136719
2026-04-17,339.3999938964844
